season_week,season,week,n,actual_elim,rank_bottom2,rank_elim_original,rank_elim_judge_lowest,rank_elim_judge_fan_safe,rank_elim_judge_fan_drama,pct_bottom2,pct_elim_original,pct_elim_judge_lowest,pct_elim_judge_fan_safe,pct_elim_judge_fan_drama,rank_judge_lowest_correct,pct_judge_lowest_correct
16_4,16,4,10,Lisa Vanderpump_Gleb Savchenko_16,"['Lisa Vanderpump_Gleb Savchenko_16', 'D. L. Hughley_Cheryl Burke_16']",Lisa Vanderpump_Gleb Savchenko_16,Lisa Vanderpump_Gleb Savchenko_16,D. L. Hughley_Cheryl Burke_16,Lisa Vanderpump_Gleb Savchenko_16,"['Lisa Vanderpump_Gleb Savchenko_16', 'D. L. Hughley_Cheryl Burke_16']",Lisa Vanderpump_Gleb Savchenko_16,Lisa Vanderpump_Gleb Savchenko_16,D. L. Hughley_Cheryl Burke_16,Lisa Vanderpump_Gleb Savchenko_16,1,1
16_5,16,5,9,D. L. Hughley_Cheryl Burke_16,"['D. L. Hughley_Cheryl Burke_16', 'Victor Ortiz_Lindsay Arnold_16']",D. L. Hughley_Cheryl Burke_16,D. L. Hughley_Cheryl Burke_16,D. L. Hughley_Cheryl Burke_16,Victor Ortiz_Lindsay Arnold_16,"['D. L. Hughley_Cheryl Burke_16', 'Victor Ortiz_Lindsay Arnold_16']",D. L. Hughley_Cheryl Burke_16,D. L. Hughley_Cheryl Burke_16,D. L. Hughley_Cheryl Burke_16,Victor Ortiz_Lindsay Arnold_16,1,1
16_6,16,6,8,Victor Ortiz_Lindsay Arnold_16,"['Victor Ortiz_Lindsay Arnold_16', 'Andy Dick_Sharna Burgess_16']",Victor Ortiz_Lindsay Arnold_16,Victor Ortiz_Lindsay Arnold_16,Victor Ortiz_Lindsay Arnold_16,Andy Dick_Sharna Burgess_16,"['Victor Ortiz_Lindsay Arnold_16', 'Andy Dick_Sharna Burgess_16']",Victor Ortiz_Lindsay Arnold_16,Victor Ortiz_Lindsay Arnold_16,Victor Ortiz_Lindsay Arnold_16,Andy Dick_Sharna Burgess_16,1,1
16_7,16,7,7,Andy Dick_Sharna Burgess_16,"['Andy Dick_Sharna Burgess_16', 'Sean Lowe_Peta Murgatroyd_16']",Andy Dick_Sharna Burgess_16,Andy Dick_Sharna Burgess_16,Andy Dick_Sharna Burgess_16,Sean Lowe_Peta Murgatroyd_16,"['Andy Dick_Sharna Burgess_16', 'Sean Lowe_Peta Murgatroyd_16']",Andy Dick_Sharna Burgess_16,Andy Dick_Sharna Burgess_16,Andy Dick_Sharna Burgess_16,Sean Lowe_Peta Murgatroyd_16,1,1
16_8,16,8,6,Sean Lowe_Peta Murgatroyd_16,"['Sean Lowe_Peta Murgatroyd_16', 'Ingo Rademacher_Kym Johnson_16']",Sean Lowe_Peta Murgatroyd_16,Sean Lowe_Peta Murgatroyd_16,Sean Lowe_Peta Murgatroyd_16,Ingo Rademacher_Kym Johnson_16,"['Sean Lowe_Peta Murgatroyd_16', 'Ingo Rademacher_Kym Johnson_16']",Sean Lowe_Peta Murgatroyd_16,Sean Lowe_Peta Murgatroyd_16,Sean Lowe_Peta Murgatroyd_16,Ingo Rademacher_Kym Johnson_16,1,1
16_9,16,9,5,Ingo Rademacher_Kym Johnson_16,"['Ingo Rademacher_Kym Johnson_16', 'Alexandra Raisman_Mark Ballas_16']",Ingo Rademacher_Kym Johnson_16,Ingo Rademacher_Kym Johnson_16,Ingo Rademacher_Kym Johnson_16,Alexandra Raisman_Mark Ballas_16,"['Ingo Rademacher_Kym Johnson_16', 'Alexandra Raisman_Mark Ballas_16']",Ingo Rademacher_Kym Johnson_16,Ingo Rademacher_Kym Johnson_16,Ingo Rademacher_Kym Johnson_16,Alexandra Raisman_Mark Ballas_16,1,1
17_10,17,10,5,Leah Remini_Tony Dovolani_17,"['Bill Engvall_Emma Slater_17', 'Leah Remini_Tony Dovolani_17']",Bill Engvall_Emma Slater_17,Bill Engvall_Emma Slater_17,Bill Engvall_Emma Slater_17,Leah Remini_Tony Dovolani_17,"['Bill Engvall_Emma Slater_17', 'Leah Remini_Tony Dovolani_17']",Bill Engvall_Emma Slater_17,Bill Engvall_Emma Slater_17,Bill Engvall_Emma Slater_17,Leah Remini_Tony Dovolani_17,0,0
17_11,17,11,4,Bill Engvall_Emma Slater_17,"['Bill Engvall_Emma Slater_17', 'Jack Osbourne_Cheryl Burke_17']",Bill Engvall_Emma Slater_17,Bill Engvall_Emma Slater_17,Bill Engvall_Emma Slater_17,Jack Osbourne_Cheryl Burke_17,"['Bill Engvall_Emma Slater_17', 'Jack Osbourne_Cheryl Burke_17']",Bill Engvall_Emma Slater_17,Bill Engvall_Emma Slater_17,Bill Engvall_Emma Slater_17,Jack Osbourne_Cheryl Burke_17,1,1
17_2,17,2,12,Keyshawn Johnson_Sharna Burgess_17,"['Bill Nye_Tyne Stecklein_17', 'Keyshawn Johnson_Sharna Burgess_17']",Bill Nye_Tyne Stecklein_17,Bill Nye_Tyne Stecklein_17,Keyshawn Johnson_Sharna Burgess_17,Bill Nye_Tyne Stecklein_17,"['Bill Nye_Tyne Stecklein_17', 'Keyshawn Johnson_Sharna Burgess_17']",Bill Nye_Tyne Stecklein_17,Bill Nye_Tyne Stecklein_17,Keyshawn Johnson_Sharna Burgess_17,Bill Nye_Tyne Stecklein_17,0,0
17_3,17,3,11,Bill Nye_Tyne Stecklein_17,"['Bill Nye_Tyne Stecklein_17', 'Valerie Harper_Tristan MacManus_17']",Bill Nye_Tyne Stecklein_17,Bill Nye_Tyne Stecklein_17,Bill Nye_Tyne Stecklein_17,Valerie Harper_Tristan MacManus_17,"['Bill Nye_Tyne Stecklein_17', 'Valerie Harper_Tristan MacManus_17']",Bill Nye_Tyne Stecklein_17,Bill Nye_Tyne Stecklein_17,Bill Nye_Tyne Stecklein_17,Valerie Harper_Tristan MacManus_17,1,1
17_4,17,4,10,Valerie Harper_Tristan MacManus_17,"['Valerie Harper_Tristan MacManus_17', 'Brant Daugherty_Peta Murgatroyd_17']",Valerie Harper_Tristan MacManus_17,Valerie Harper_Tristan MacManus_17,Valerie Harper_Tristan MacManus_17,Brant Daugherty_Peta Murgatroyd_17,"['Valerie Harper_Tristan MacManus_17', 'Elizabeth Berkley Lauren_Valentin Chmerkovskiy_17']",Valerie Harper_Tristan MacManus_17,Valerie Harper_Tristan MacManus_17,Valerie Harper_Tristan MacManus_17,Elizabeth Berkley Lauren_Valentin Chmerkovskiy_17,1,1
17_5,17,5,9,Christina Milian_Mark Ballas_17,"['Amber Riley_Derek Hough_17', 'Nicole ""Snooki"" Polizzi_Sasha Farber_17']",Amber Riley_Derek Hough_17,Amber Riley_Derek Hough_17,"Nicole ""Snooki"" Polizzi_Sasha Farber_17",Amber Riley_Derek Hough_17,"['Brant Daugherty_Peta Murgatroyd_17', 'Christina Milian_Mark Ballas_17']",Brant Daugherty_Peta Murgatroyd_17,Brant Daugherty_Peta Murgatroyd_17,Christina Milian_Mark Ballas_17,Brant Daugherty_Peta Murgatroyd_17,0,0
17_7,17,7,8,"Nicole ""Snooki"" Polizzi_Sasha Farber_17","['Bill Engvall_Emma Slater_17', 'Nicole ""Snooki"" Polizzi_Sasha Farber_17']",Bill Engvall_Emma Slater_17,Bill Engvall_Emma Slater_17,Bill Engvall_Emma Slater_17,"Nicole ""Snooki"" Polizzi_Sasha Farber_17","['Bill Engvall_Emma Slater_17', 'Nicole ""Snooki"" Polizzi_Sasha Farber_17']",Bill Engvall_Emma Slater_17,Bill Engvall_Emma Slater_17,Bill Engvall_Emma Slater_17,"Nicole ""Snooki"" Polizzi_Sasha Farber_17",0,0
17_8,17,8,7,Brant Daugherty_Peta Murgatroyd_17,"['Bill Engvall_Emma Slater_17', 'Elizabeth Berkley Lauren_Valentin Chmerkovskiy_17']",Bill Engvall_Emma Slater_17,Bill Engvall_Emma Slater_17,Bill Engvall_Emma Slater_17,Elizabeth Berkley Lauren_Valentin Chmerkovskiy_17,"['Bill Engvall_Emma Slater_17', 'Elizabeth Berkley Lauren_Valentin Chmerkovskiy_17']",Bill Engvall_Emma Slater_17,Bill Engvall_Emma Slater_17,Bill Engvall_Emma Slater_17,Elizabeth Berkley Lauren_Valentin Chmerkovskiy_17,0,0
17_9,17,9,6,Elizabeth Berkley Lauren_Valentin Chmerkovskiy_17,"['Bill Engvall_Emma Slater_17', 'Elizabeth Berkley Lauren_Valentin Chmerkovskiy_17']",Bill Engvall_Emma Slater_17,Bill Engvall_Emma Slater_17,Bill Engvall_Emma Slater_17,Elizabeth Berkley Lauren_Valentin Chmerkovskiy_17,"['Bill Engvall_Emma Slater_17', 'Elizabeth Berkley Lauren_Valentin Chmerkovskiy_17']",Bill Engvall_Emma Slater_17,Bill Engvall_Emma Slater_17,Bill Engvall_Emma Slater_17,Elizabeth Berkley Lauren_Valentin Chmerkovskiy_17,0,0
18_10,18,10,4,James Maslow_Peta Murgatroyd_18,"['Candace Cameron Bure_Mark Ballas_18', 'James Maslow_Peta Murgatroyd_18']",Candace Cameron Bure_Mark Ballas_18,Candace Cameron Bure_Mark Ballas_18,Candace Cameron Bure_Mark Ballas_18,James Maslow_Peta Murgatroyd_18,"['Candace Cameron Bure_Mark Ballas_18', 'James Maslow_Peta Murgatroyd_18']",Candace Cameron Bure_Mark Ballas_18,Candace Cameron Bure_Mark Ballas_18,Candace Cameron Bure_Mark Ballas_18,James Maslow_Peta Murgatroyd_18,0,0
18_2,18,2,11,Sean Avery_Karina Smirnoff_18,"['Billy Dee Williams_Emma Slater_18', 'Sean Avery_Karina Smirnoff_18']",Billy Dee Williams_Emma Slater_18,Billy Dee Williams_Emma Slater_18,Billy Dee Williams_Emma Slater_18,Sean Avery_Karina Smirnoff_18,"['Billy Dee Williams_Emma Slater_18', 'Sean Avery_Karina Smirnoff_18']",Billy Dee Williams_Emma Slater_18,Billy Dee Williams_Emma Slater_18,Billy Dee Williams_Emma Slater_18,Sean Avery_Karina Smirnoff_18,0,0
18_5,18,5,9,Cody Simpson_Witney Carson_18,"['Cody Simpson_Witney Carson_18', 'Drew Carey_Cheryl Burke_18']",Cody Simpson_Witney Carson_18,Drew Carey_Cheryl Burke_18,Cody Simpson_Witney Carson_18,Drew Carey_Cheryl Burke_18,"['Cody Simpson_Witney Carson_18', 'Danica McKellar_Valentin Chmerkovskiy_18']",Cody Simpson_Witney Carson_18,Cody Simpson_Witney Carson_18,Cody Simpson_Witney Carson_18,Danica McKellar_Valentin Chmerkovskiy_18,0,1
18_6,18,6,8,Drew Carey_Cheryl Burke_18,"['Drew Carey_Cheryl Burke_18', 'NeNe Leakes_Tony Dovolani_18']",Drew Carey_Cheryl Burke_18,Drew Carey_Cheryl Burke_18,Drew Carey_Cheryl Burke_18,NeNe Leakes_Tony Dovolani_18,"['Drew Carey_Cheryl Burke_18', 'NeNe Leakes_Tony Dovolani_18']",Drew Carey_Cheryl Burke_18,Drew Carey_Cheryl Burke_18,Drew Carey_Cheryl Burke_18,NeNe Leakes_Tony Dovolani_18,1,1
18_7,18,7,7,NeNe Leakes_Tony Dovolani_18,"['NeNe Leakes_Tony Dovolani_18', 'Charlie White_Sharna Burgess_18']",NeNe Leakes_Tony Dovolani_18,NeNe Leakes_Tony Dovolani_18,NeNe Leakes_Tony Dovolani_18,Charlie White_Sharna Burgess_18,"['NeNe Leakes_Tony Dovolani_18', 'Charlie White_Sharna Burgess_18']",NeNe Leakes_Tony Dovolani_18,NeNe Leakes_Tony Dovolani_18,NeNe Leakes_Tony Dovolani_18,Charlie White_Sharna Burgess_18,1,1
18_8,18,8,6,Danica McKellar_Valentin Chmerkovskiy_18,"['James Maslow_Peta Murgatroyd_18', 'Charlie White_Sharna Burgess_18']",James Maslow_Peta Murgatroyd_18,James Maslow_Peta Murgatroyd_18,Charlie White_Sharna Burgess_18,James Maslow_Peta Murgatroyd_18,"['James Maslow_Peta Murgatroyd_18', 'Danica McKellar_Valentin Chmerkovskiy_18']",James Maslow_Peta Murgatroyd_18,James Maslow_Peta Murgatroyd_18,Danica McKellar_Valentin Chmerkovskiy_18,James Maslow_Peta Murgatroyd_18,0,0
18_9,18,9,5,Charlie White_Sharna Burgess_18,"['James Maslow_Peta Murgatroyd_18', 'Candace Cameron Bure_Mark Ballas_18']",James Maslow_Peta Murgatroyd_18,Candace Cameron Bure_Mark Ballas_18,James Maslow_Peta Murgatroyd_18,Candace Cameron Bure_Mark Ballas_18,"['Candace Cameron Bure_Mark Ballas_18', 'James Maslow_Peta Murgatroyd_18']",Candace Cameron Bure_Mark Ballas_18,Candace Cameron Bure_Mark Ballas_18,James Maslow_Peta Murgatroyd_18,Candace Cameron Bure_Mark Ballas_18,0,0
19_1,19,1,13,Lolo Jones_Keo Motsepe_19,"['Betsey Johnson_Tony Dovolani_19', 'Lolo Jones_Keo Motsepe_19']",Betsey Johnson_Tony Dovolani_19,Betsey Johnson_Tony Dovolani_19,Lolo Jones_Keo Motsepe_19,Betsey Johnson_Tony Dovolani_19,"['Betsey Johnson_Tony Dovolani_19', 'Lolo Jones_Keo Motsepe_19']",Betsey Johnson_Tony Dovolani_19,Betsey Johnson_Tony Dovolani_19,Lolo Jones_Keo Motsepe_19,Betsey Johnson_Tony Dovolani_19,0,0
19_10,19,10,5,Tommy Chong_Peta Murgatroyd_19,"['Tommy Chong_Peta Murgatroyd_19', 'Bethany Mota_Derek Hough_19']",Tommy Chong_Peta Murgatroyd_19,Tommy Chong_Peta Murgatroyd_19,Tommy Chong_Peta Murgatroyd_19,Bethany Mota_Derek Hough_19,"['Tommy Chong_Peta Murgatroyd_19', 'Bethany Mota_Derek Hough_19']",Tommy Chong_Peta Murgatroyd_19,Tommy Chong_Peta Murgatroyd_19,Tommy Chong_Peta Murgatroyd_19,Bethany Mota_Derek Hough_19,1,1
19_11,19,11,4,Bethany Mota_Derek Hough_19,"['Bethany Mota_Derek Hough_19', 'Janel Parrish_Valentin Chmerkovskiy_19']",Bethany Mota_Derek Hough_19,Bethany Mota_Derek Hough_19,Bethany Mota_Derek Hough_19,Janel Parrish_Valentin Chmerkovskiy_19,"['Bethany Mota_Derek Hough_19', 'Janel Parrish_Valentin Chmerkovskiy_19']",Bethany Mota_Derek Hough_19,Bethany Mota_Derek Hough_19,Bethany Mota_Derek Hough_19,Janel Parrish_Valentin Chmerkovskiy_19,1,1
19_2,19,2,12,Tavis Smiley_Sharna Burgess_19,"['Tavis Smiley_Sharna Burgess_19', 'Betsey Johnson_Tony Dovolani_19']",Tavis Smiley_Sharna Burgess_19,Tavis Smiley_Sharna Burgess_19,Betsey Johnson_Tony Dovolani_19,Tavis Smiley_Sharna Burgess_19,"['Betsey Johnson_Tony Dovolani_19', 'Tavis Smiley_Sharna Burgess_19']",Betsey Johnson_Tony Dovolani_19,Betsey Johnson_Tony Dovolani_19,Betsey Johnson_Tony Dovolani_19,Tavis Smiley_Sharna Burgess_19,1,0
19_3,19,3,11,Randy Couture_Karina Smirnoff_19,"['Randy Couture_Karina Smirnoff_19', 'Betsey Johnson_Tony Dovolani_19']",Randy Couture_Karina Smirnoff_19,Randy Couture_Karina Smirnoff_19,Betsey Johnson_Tony Dovolani_19,Randy Couture_Karina Smirnoff_19,"['Randy Couture_Karina Smirnoff_19', 'Betsey Johnson_Tony Dovolani_19']",Randy Couture_Karina Smirnoff_19,Randy Couture_Karina Smirnoff_19,Betsey Johnson_Tony Dovolani_19,Randy Couture_Karina Smirnoff_19,1,1
19_4,19,4,10,Betsey Johnson_Tony Dovolani_19,"['Betsey Johnson_Tony Dovolani_19', 'Jonathan Bennett_Allison Holker_19']",Betsey Johnson_Tony Dovolani_19,Jonathan Bennett_Allison Holker_19,Betsey Johnson_Tony Dovolani_19,Jonathan Bennett_Allison Holker_19,"['Betsey Johnson_Tony Dovolani_19', 'Jonathan Bennett_Allison Holker_19']",Betsey Johnson_Tony Dovolani_19,Jonathan Bennett_Allison Holker_19,Betsey Johnson_Tony Dovolani_19,Jonathan Bennett_Allison Holker_19,0,0
19_6,19,6,9,Jonathan Bennett_Allison Holker_19,"['Tommy Chong_Peta Murgatroyd_19', 'Antonio Sabato Jr._Cheryl Burke_19']",Tommy Chong_Peta Murgatroyd_19,Tommy Chong_Peta Murgatroyd_19,Tommy Chong_Peta Murgatroyd_19,Antonio Sabato Jr._Cheryl Burke_19,"['Tommy Chong_Peta Murgatroyd_19', 'Jonathan Bennett_Allison Holker_19']",Tommy Chong_Peta Murgatroyd_19,Tommy Chong_Peta Murgatroyd_19,Tommy Chong_Peta Murgatroyd_19,Jonathan Bennett_Allison Holker_19,0,0
19_7,19,7,8,Antonio Sabato Jr._Cheryl Burke_19,"['Antonio Sabato Jr._Cheryl Burke_19', 'Michael Waltrip_Emma Slater_19']",Antonio Sabato Jr._Cheryl Burke_19,Michael Waltrip_Emma Slater_19,Antonio Sabato Jr._Cheryl Burke_19,Michael Waltrip_Emma Slater_19,"['Antonio Sabato Jr._Cheryl Burke_19', 'Tommy Chong_Peta Murgatroyd_19']",Antonio Sabato Jr._Cheryl Burke_19,Antonio Sabato Jr._Cheryl Burke_19,Tommy Chong_Peta Murgatroyd_19,Antonio Sabato Jr._Cheryl Burke_19,0,1
19_8,19,8,7,Michael Waltrip_Emma Slater_19,"['Michael Waltrip_Emma Slater_19', 'Tommy Chong_Peta Murgatroyd_19']",Michael Waltrip_Emma Slater_19,Michael Waltrip_Emma Slater_19,Tommy Chong_Peta Murgatroyd_19,Michael Waltrip_Emma Slater_19,"['Michael Waltrip_Emma Slater_19', 'Tommy Chong_Peta Murgatroyd_19']",Michael Waltrip_Emma Slater_19,Michael Waltrip_Emma Slater_19,Tommy Chong_Peta Murgatroyd_19,Michael Waltrip_Emma Slater_19,1,1
19_9,19,9,6,Lea Thompson_Artem Chigvintsev_19,"['Tommy Chong_Peta Murgatroyd_19', 'Lea Thompson_Artem Chigvintsev_19']",Tommy Chong_Peta Murgatroyd_19,Tommy Chong_Peta Murgatroyd_19,Tommy Chong_Peta Murgatroyd_19,Lea Thompson_Artem Chigvintsev_19,"['Tommy Chong_Peta Murgatroyd_19', 'Lea Thompson_Artem Chigvintsev_19']",Tommy Chong_Peta Murgatroyd_19,Tommy Chong_Peta Murgatroyd_19,Tommy Chong_Peta Murgatroyd_19,Lea Thompson_Artem Chigvintsev_19,0,0
1_2,1,2,6,Trista Sutter_Louis van Amstel_1,"['Trista Sutter_Louis van Amstel_1', 'Evander Holyfield_Edyta Sliwinska_1']",Trista Sutter_Louis van Amstel_1,Evander Holyfield_Edyta Sliwinska_1,Trista Sutter_Louis van Amstel_1,Evander Holyfield_Edyta Sliwinska_1,"['Trista Sutter_Louis van Amstel_1', 'Joey McIntyre_Ashly DelGrosso_1']",Trista Sutter_Louis van Amstel_1,Trista Sutter_Louis van Amstel_1,Trista Sutter_Louis van Amstel_1,Joey McIntyre_Ashly DelGrosso_1,0,1
1_3,1,3,5,Evander Holyfield_Edyta Sliwinska_1,"['Evander Holyfield_Edyta Sliwinska_1', 'Joey McIntyre_Ashly DelGrosso_1']",Evander Holyfield_Edyta Sliwinska_1,Evander Holyfield_Edyta Sliwinska_1,Evander Holyfield_Edyta Sliwinska_1,Joey McIntyre_Ashly DelGrosso_1,"['Evander Holyfield_Edyta Sliwinska_1', ""John O'Hurley_Charlotte Jorgensen_1""]",Evander Holyfield_Edyta Sliwinska_1,Evander Holyfield_Edyta Sliwinska_1,Evander Holyfield_Edyta Sliwinska_1,John O'Hurley_Charlotte Jorgensen_1,1,1
1_4,1,4,4,Rachel Hunter_Jonathan Roberts_1,"['Rachel Hunter_Jonathan Roberts_1', 'Joey McIntyre_Ashly DelGrosso_1']",Rachel Hunter_Jonathan Roberts_1,Joey McIntyre_Ashly DelGrosso_1,Rachel Hunter_Jonathan Roberts_1,Joey McIntyre_Ashly DelGrosso_1,"['Rachel Hunter_Jonathan Roberts_1', 'Kelly Monaco_Alec Mazo_1']",Rachel Hunter_Jonathan Roberts_1,Rachel Hunter_Jonathan Roberts_1,Rachel Hunter_Jonathan Roberts_1,Kelly Monaco_Alec Mazo_1,0,1
20_2,20,2,12,Redfoo_Emma Slater_20,"['Charlotte McKinney_Keo Motsepe_20', 'Suzanne Somers_Tony Dovolani_20']",Charlotte McKinney_Keo Motsepe_20,Charlotte McKinney_Keo Motsepe_20,Charlotte McKinney_Keo Motsepe_20,Suzanne Somers_Tony Dovolani_20,"['Charlotte McKinney_Keo Motsepe_20', 'Patti LaBelle_Artem Chigvintsev_20']",Charlotte McKinney_Keo Motsepe_20,Charlotte McKinney_Keo Motsepe_20,Charlotte McKinney_Keo Motsepe_20,Patti LaBelle_Artem Chigvintsev_20,0,0
20_3,20,3,11,Charlotte McKinney_Keo Motsepe_20,"['Charlotte McKinney_Keo Motsepe_20', 'Patti LaBelle_Artem Chigvintsev_20']",Charlotte McKinney_Keo Motsepe_20,Charlotte McKinney_Keo Motsepe_20,Charlotte McKinney_Keo Motsepe_20,Patti LaBelle_Artem Chigvintsev_20,"['Charlotte McKinney_Keo Motsepe_20', 'Nastia Liukin_Derek Hough_20']",Charlotte McKinney_Keo Motsepe_20,Charlotte McKinney_Keo Motsepe_20,Charlotte McKinney_Keo Motsepe_20,Nastia Liukin_Derek Hough_20,1,1
20_4,20,4,10,Michael Sam_Peta Murgatroyd_20,"['Patti LaBelle_Artem Chigvintsev_20', 'Suzanne Somers_Tony Dovolani_20']",Patti LaBelle_Artem Chigvintsev_20,Suzanne Somers_Tony Dovolani_20,Patti LaBelle_Artem Chigvintsev_20,Suzanne Somers_Tony Dovolani_20,"['Suzanne Somers_Tony Dovolani_20', 'Patti LaBelle_Artem Chigvintsev_20']",Suzanne Somers_Tony Dovolani_20,Suzanne Somers_Tony Dovolani_20,Patti LaBelle_Artem Chigvintsev_20,Suzanne Somers_Tony Dovolani_20,0,0
20_5,20,5,9,Suzanne Somers_Tony Dovolani_20,"['Patti LaBelle_Artem Chigvintsev_20', 'Suzanne Somers_Tony Dovolani_20']",Patti LaBelle_Artem Chigvintsev_20,Patti LaBelle_Artem Chigvintsev_20,Suzanne Somers_Tony Dovolani_20,Patti LaBelle_Artem Chigvintsev_20,"['Patti LaBelle_Artem Chigvintsev_20', 'Suzanne Somers_Tony Dovolani_20']",Patti LaBelle_Artem Chigvintsev_20,Patti LaBelle_Artem Chigvintsev_20,Suzanne Somers_Tony Dovolani_20,Patti LaBelle_Artem Chigvintsev_20,0,0
20_6,20,6,8,Patti LaBelle_Artem Chigvintsev_20,"['Patti LaBelle_Artem Chigvintsev_20', 'Robert Herjavec_Kym Johnson_20']",Patti LaBelle_Artem Chigvintsev_20,Robert Herjavec_Kym Johnson_20,Patti LaBelle_Artem Chigvintsev_20,Robert Herjavec_Kym Johnson_20,"['Robert Herjavec_Kym Johnson_20', 'Patti LaBelle_Artem Chigvintsev_20']",Robert Herjavec_Kym Johnson_20,Robert Herjavec_Kym Johnson_20,Patti LaBelle_Artem Chigvintsev_20,Robert Herjavec_Kym Johnson_20,0,0
20_7,20,7,7,Willow Shields_Mark Ballas_20,"['Robert Herjavec_Kym Johnson_20', 'Chris Soules_Witney Carson_20']",Robert Herjavec_Kym Johnson_20,Robert Herjavec_Kym Johnson_20,Robert Herjavec_Kym Johnson_20,Chris Soules_Witney Carson_20,"['Robert Herjavec_Kym Johnson_20', 'Willow Shields_Mark Ballas_20']",Robert Herjavec_Kym Johnson_20,Robert Herjavec_Kym Johnson_20,Robert Herjavec_Kym Johnson_20,Willow Shields_Mark Ballas_20,0,0
20_9,20,9,4,Nastia Liukin_Derek Hough_20,"['Nastia Liukin_Derek Hough_20', 'Noah Galloway_Sharna Burgess_20']",Nastia Liukin_Derek Hough_20,Noah Galloway_Sharna Burgess_20,Nastia Liukin_Derek Hough_20,Noah Galloway_Sharna Burgess_20,"['Nastia Liukin_Derek Hough_20', 'Noah Galloway_Sharna Burgess_20']",Nastia Liukin_Derek Hough_20,Noah Galloway_Sharna Burgess_20,Nastia Liukin_Derek Hough_20,Noah Galloway_Sharna Burgess_20,0,0
21_11,21,11,4,Carlos PenaVega_Witney Carson_21,"['Alek Skarlatos_Lindsay Arnold_21', 'Carlos PenaVega_Witney Carson_21']",Alek Skarlatos_Lindsay Arnold_21,Alek Skarlatos_Lindsay Arnold_21,Carlos PenaVega_Witney Carson_21,Alek Skarlatos_Lindsay Arnold_21,"['Carlos PenaVega_Witney Carson_21', 'Alek Skarlatos_Lindsay Arnold_21']",Carlos PenaVega_Witney Carson_21,Alek Skarlatos_Lindsay Arnold_21,Carlos PenaVega_Witney Carson_21,Alek Skarlatos_Lindsay Arnold_21,0,0
21_4,21,4,10,Gary Busey_Anna Trebunskaya_21,"['Gary Busey_Anna Trebunskaya_21', 'Paula Deen_Louis van Amstel_21']",Gary Busey_Anna Trebunskaya_21,Gary Busey_Anna Trebunskaya_21,Paula Deen_Louis van Amstel_21,Gary Busey_Anna Trebunskaya_21,"['Gary Busey_Anna Trebunskaya_21', 'Paula Deen_Louis van Amstel_21']",Gary Busey_Anna Trebunskaya_21,Gary Busey_Anna Trebunskaya_21,Paula Deen_Louis van Amstel_21,Gary Busey_Anna Trebunskaya_21,1,1
21_6,21,6,9,Paula Deen_Louis van Amstel_21,"['Paula Deen_Louis van Amstel_21', 'Hayes Grier_Emma Slater_21']",Paula Deen_Louis van Amstel_21,Paula Deen_Louis van Amstel_21,Paula Deen_Louis van Amstel_21,Hayes Grier_Emma Slater_21,"['Paula Deen_Louis van Amstel_21', 'Hayes Grier_Emma Slater_21']",Paula Deen_Louis van Amstel_21,Paula Deen_Louis van Amstel_21,Paula Deen_Louis van Amstel_21,Hayes Grier_Emma Slater_21,1,1
21_7,21,7,8,Hayes Grier_Emma Slater_21,"['Alexa PenaVega_Mark Ballas_21', 'Hayes Grier_Emma Slater_21']",Alexa PenaVega_Mark Ballas_21,Alexa PenaVega_Mark Ballas_21,Hayes Grier_Emma Slater_21,Alexa PenaVega_Mark Ballas_21,"['Alexa PenaVega_Mark Ballas_21', 'Hayes Grier_Emma Slater_21']",Alexa PenaVega_Mark Ballas_21,Alexa PenaVega_Mark Ballas_21,Hayes Grier_Emma Slater_21,Alexa PenaVega_Mark Ballas_21,0,0
21_8,21,8,7,Andy Grammer_Allison Holker_21,"['Andy Grammer_Allison Holker_21', 'Alexa PenaVega_Mark Ballas_21']",Andy Grammer_Allison Holker_21,Andy Grammer_Allison Holker_21,Alexa PenaVega_Mark Ballas_21,Andy Grammer_Allison Holker_21,"['Andy Grammer_Allison Holker_21', 'Alexa PenaVega_Mark Ballas_21']",Andy Grammer_Allison Holker_21,Andy Grammer_Allison Holker_21,Alexa PenaVega_Mark Ballas_21,Andy Grammer_Allison Holker_21,1,1
21_9,21,9,6,Alexa PenaVega_Mark Ballas_21,"['Tamar Braxton_Valentin Chmerkovskiy_21', 'Carlos PenaVega_Witney Carson_21']",Tamar Braxton_Valentin Chmerkovskiy_21,Tamar Braxton_Valentin Chmerkovskiy_21,Carlos PenaVega_Witney Carson_21,Tamar Braxton_Valentin Chmerkovskiy_21,"['Tamar Braxton_Valentin Chmerkovskiy_21', 'Carlos PenaVega_Witney Carson_21']",Tamar Braxton_Valentin Chmerkovskiy_21,Tamar Braxton_Valentin Chmerkovskiy_21,Carlos PenaVega_Witney Carson_21,Tamar Braxton_Valentin Chmerkovskiy_21,0,0
